Date of transaction,Entity name,Number of units,Unit type
27/03/2026,Terra Carbon Pty Limited,120,KACCU
27/03/2026,CLIMA SOLUTIONS PTY LTD,465,KACCU
27/03/2026,Terra Carbon Pty Limited,"1,447",CER
26/03/2026,WESFARMERS KLEENHEAT GAS PTY LTD,"2,498",KACCU
25/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,915",KACCU
25/03/2026,Carbonhalo Pty Ltd,2,KACCU
25/03/2026,Carbonhalo Pty Ltd,20,KACCU
25/03/2026,"Climate Impact Partners, LLC","13,121",CER
23/03/2026,Global Environmental Markets Pty Ltd,285,CER
23/03/2026,Carbon Financial Services Pty. Ltd.,"54,030",CER
20/03/2026,Tasman Environmental Markets Australia Pty Ltd,"2,910",KACCU
20/03/2026,Tasman Environmental Markets Australia Pty Ltd,47,KACCU
20/03/2026,Tasman Environmental Markets Australia Pty Ltd,"1,000",KACCU
20/03/2026,Aboriginal Carbon Fund Limited,24,KACCU
20/03/2026,Tasman Environmental Markets Australia Pty Ltd,"29,100",CER
20/03/2026,"Climate Impact Partners, LLC","3,914",CER
20/03/2026,"Climate Impact Partners, LLC","2,086",CER
20/03/2026,"Climate Impact Partners, LLC","12,513",CER
20/03/2026,"Climate Impact Partners, LLC",909,CER
20/03/2026,"Climate Impact Partners, LLC","13,422",CER
19/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,200,KACCU
19/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,244,KACCU
19/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,267,KACCU
19/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,175,KACCU
19/03/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,001",KACCU
19/03/2026,Tasman Environmental Markets Australia Pty Ltd,56,KACCU
