Date of transaction,Entity name,Number of units,Unit type
19/11/2024,Aboriginal Carbon Fund Limited,500,KACCU
19/11/2024,Tasman Environmental Markets Australia Pty Ltd,"8,108",KACCU
18/11/2024,Tasman Environmental Markets Australia Pty Ltd,183,CER
15/11/2024,Tasman Environmental Markets Australia Pty Ltd,11,KACCU
15/11/2024,Tasman Environmental Markets Australia Pty Ltd,683,KACCU
14/11/2024,MTA Energy Pty Ltd,39,KACCU
14/11/2024,Tasman Environmental Markets Australia Pty Ltd,"1,348",KACCU
14/11/2024,South Pole Australia Financial Services Pty Ltd,160,KACCU
13/11/2024,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
13/11/2024,CLIMA SOLUTIONS PTY LTD,12,KACCU
12/11/2024,CLIMA SOLUTIONS PTY LTD,134,KACCU
12/11/2024,"Natural Capital Partners Americas, LLC",500,CER
12/11/2024,"Natural Capital Partners Americas, LLC",431,CER
12/11/2024,"Natural Capital Partners Americas, LLC",147,CER
12/11/2024,"Natural Capital Partners Americas, LLC",183,CER
12/11/2024,"Natural Capital Partners Americas, LLC","1,199",CER
12/11/2024,"Natural Capital Partners Americas, LLC",490,CER
12/11/2024,"Natural Capital Partners Americas, LLC",206,CER
12/11/2024,"Natural Capital Partners Americas, LLC","1,944",CER
11/11/2024,CLIMA SOLUTIONS PTY LTD,4,KACCU
11/11/2024,BETACARBON PTY LTD,26,KACCU
11/11/2024,BETACARBON PTY LTD,52,KACCU
11/11/2024,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
11/11/2024,CLIMA SOLUTIONS PTY LTD,2,KACCU
11/11/2024,Tasman Environmental Markets Australia Pty Ltd,48,CER
11/11/2024,Tasman Environmental Markets Australia Pty Ltd,3,KACCU
08/11/2024,CARBON NEUTRAL PTY LTD- Client Holding Account,171,KACCU
08/11/2024,Tasman Environmental Markets Australia Pty Ltd,297,KACCU
08/11/2024,Green Energy Trading Pty Ltd,78,KACCU
08/11/2024,Green Energy Trading Pty Ltd,9,KACCU
08/11/2024,Carbon Financial Services Pty. Ltd.,7,KACCU
08/11/2024,Carbon Financial Services Pty. Ltd.,21,KACCU
07/11/2024,EKI Energy Services Limited,"1,693",CER
07/11/2024,EKI Energy Services Limited,"11,825",CER
07/11/2024,EKI Energy Services Limited,"36,331",CER
07/11/2024,EKI Energy Services Limited,"4,281",CER
07/11/2024,EKI Energy Services Limited,"22,033",CER
07/11/2024,EKI Energy Services Limited,"20,228",CER
07/11/2024,EKI Energy Services Limited,"93,457",CER
07/11/2024,EKI Energy Services Limited,"35,457",CER
07/11/2024,Tasman Environmental Markets Australia Pty Ltd,"1,635",KACCU
07/11/2024,CLIMA SOLUTIONS PTY LTD,37,KACCU
07/11/2024,South Pole Australia Financial Services Pty Ltd,400,KACCU
06/11/2024,GAIA INVESTMENTS (AUST) PTY LTD,53,KACCU
06/11/2024,GAIA INVESTMENTS (AUST) PTY LTD,100,KACCU
06/11/2024,South Pole Australia Financial Services Pty Ltd,159,KACCU
06/11/2024,South Pole Australia Financial Services Pty Ltd,"6,543",KACCU
06/11/2024,South Pole Australia Financial Services Pty Ltd,"13,393",KACCU
05/11/2024,CARBON NEUTRAL PTY LTD,6,KACCU
05/11/2024,Tasman Environmental Markets Australia Pty Ltd,87,KACCU
05/11/2024,Tasman Environmental Markets Australia Pty Ltd,190,KACCU
05/11/2024,Strathburn Cape York Carbon Pty Ltd,30,KACCU
04/11/2024,Tasman Environmental Markets Australia Pty Ltd,85,CER
04/11/2024,Tasman Environmental Markets Australia Pty Ltd,5,KACCU
01/11/2024,Australia and New Zealand Banking Group Limited,"2,424",KACCU
01/11/2024,Australia and New Zealand Banking Group Limited,"4,000",KACCU
01/11/2024,Terra Carbon Pty Ltd,690,KACCU
01/11/2024,Enviro-Mark Solutions Limited,"14,515",CER
01/11/2024,Enviro-Mark Solutions Limited,"19,800",CER
01/11/2024,EVERCLIME PTY LTD,109,KACCU
01/11/2024,EVERCLIME PTY LTD,52,KACCU
01/11/2024,EVERCLIME PTY LTD,150,KACCU
01/11/2024,Terra Carbon Pty Ltd,335,KACCU
01/11/2024,Carbon Financial Services Pty. Ltd.,206,KACCU
31/10/2024,Aboriginal Carbon Fund Limited,"3,450",KACCU
31/10/2024,Aboriginal Carbon Fund Limited,"5,000",KACCU
31/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,020",KACCU
31/10/2024,Tasman Environmental Markets Australia Pty Ltd,"5,178",KACCU
31/10/2024,Tasman Environmental Markets Australia Pty Ltd,500,KACCU
31/10/2024,CLIMA SOLUTIONS PTY LTD,124,KACCU
31/10/2024,Terra Carbon Pty Ltd,700,KACCU
30/10/2024,OZWIDE FIELD SERVICES PTY LTD,10,KACCU
30/10/2024,OZWIDE FIELD SERVICES PTY LTD,14,KACCU
30/10/2024,Power Product Holdings Pty Ltd,50,KACCU
30/10/2024,OZWIDE FIELD SERVICES PTY LTD,13,KACCU
30/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,000",KACCU
30/10/2024,Climate Friendly Financial Solutions Pty Limited,"3,399",KACCU
30/10/2024,CANOPY NATURE BASED SOLUTIONS PTY LTD,656,KACCU
30/10/2024,OZWIDE FIELD SERVICES PTY LTD,"11,608",KACCU
30/10/2024,Carbon Financial Services Pty. Ltd.,126,KACCU
30/10/2024,Carbon Financial Services Pty. Ltd.,256,KACCU
30/10/2024,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
30/10/2024,Tasman Environmental Markets Australia Pty Ltd,24,CER
30/10/2024,BETACARBON PTY LTD,79,KACCU
29/10/2024,OZWIDE FIELD SERVICES PTY LTD,"18,456",KACCU
29/10/2024,Tasman Environmental Markets Australia Pty Ltd,942,KACCU
29/10/2024,Tasman Environmental Markets Australia Pty Ltd,460,KACCU
29/10/2024,Tasman Environmental Markets Australia Pty Ltd,95,KACCU
29/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,390",KACCU
28/10/2024,Carbonhalo Pty Ltd,68,KACCU
28/10/2024,AUSTRALIAN CARBON REDUCTION COLLECTIVE PTY LTD,32,KACCU
28/10/2024,Carbonhalo Pty Ltd,23,KACCU
28/10/2024,CANOPY NATURE BASED SOLUTIONS PTY LTD,52,KACCU
28/10/2024,ENERGYLINK SERVICES PTY LTD,"1,026",CER
28/10/2024,South Pole Australia Financial Services Pty Ltd,62,KACCU
28/10/2024,Commonwealth Bank of Australia,"3,218",KACCU
28/10/2024,Tasman Environmental Markets Australia Pty Ltd,206,CER
28/10/2024,Tasman Environmental Markets Australia Pty Ltd,13,KACCU
28/10/2024,Corporate Carbon Advisory Pty Ltd,35,KACCU
26/10/2024,"Natural Capital Partners Americas, LLC",9,CER
26/10/2024,"Natural Capital Partners Americas, LLC",9,CER
26/10/2024,"Natural Capital Partners Americas, LLC",11,CER
26/10/2024,"Natural Capital Partners Americas, LLC",338,CER
26/10/2024,"Natural Capital Partners Americas, LLC",425,CER
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,076",KACCU
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,171,KACCU
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,"2,804",KACCU
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,100,KACCU
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,469,KACCU
25/10/2024,Tasman Environmental Markets Australia Pty Ltd,"8,911",CER
25/10/2024,ENERGYLINK SERVICES PTY LTD,48,KACCU
24/10/2024,CARBON NEUTRAL PTY LTD- Client Holding Account,"1,048",KACCU
24/10/2024,VIRIDIOS CAPITAL PTY LTD,16,KACCU
23/10/2024,Tasman Environmental Markets Australia Pty Ltd,439,KACCU
23/10/2024,Tasman Environmental Markets Australia Pty Ltd,82,KACCU
23/10/2024,COLES ENVIRONMENTAL SERVICES PTY LTD,"15,367",KACCU
23/10/2024,CLIMA SOLUTIONS PTY LTD,46,KACCU
22/10/2024,CARBON NEUTRAL PTY LTD,"1,455",CER
22/10/2024,Tasman Environmental Markets Australia Pty Ltd,325,KACCU
22/10/2024,Enviro-Mark Solutions Limited,762,CER
22/10/2024,Enviro-Mark Solutions Limited,34,CER
22/10/2024,South Pole Australia Financial Services Pty Ltd,160,KACCU
21/10/2024,Tasman Environmental Markets Australia Pty Ltd,50,KACCU
18/10/2024,CANOPY NATURE BASED SOLUTIONS PTY LTD,"3,871",KACCU
18/10/2024,Tasman Environmental Markets Australia Pty Ltd,"10,000",KACCU
17/10/2024,Tasman Environmental Markets Australia Pty Ltd,554,KACCU
17/10/2024,Tasman Environmental Markets Australia Pty Ltd,245,KACCU
17/10/2024,Tasman Environmental Markets Australia Pty Ltd,5,CER
17/10/2024,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
17/10/2024,Climate Friendly Financial Solutions Pty Limited,35,KACCU
17/10/2024,Climate Friendly Financial Solutions Pty Limited,449,KACCU
16/10/2024,CARBON NEUTRAL PTY LTD,36,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,859,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,560,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,895,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,2,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,771,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,878,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,18,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,875,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,76,KACCU
16/10/2024,Carbon Financial Services Pty. Ltd.,792,KACCU
15/10/2024,CARBON NEUTRAL PTY LTD- Client Holding Account,81,KACCU
14/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,824",KACCU
14/10/2024,Macquarie Bank Limited,191,KACCU
14/10/2024,ALINTA ENERGY CEA TRADING PTY LTD,"4,251",KACCU
11/10/2024,Commonwealth Bank of Australia,"17,000",KACCU
10/10/2024,NettZero Pty Ltd,31,KACCU
10/10/2024,VIRIDIOS CAPITAL PTY LTD,100,KACCU
09/10/2024,"Natural Capital Partners Americas, LLC","4,043",CER
09/10/2024,"Natural Capital Partners Americas, LLC",110,CER
09/10/2024,"Natural Capital Partners Americas, LLC","1,018",CER
09/10/2024,Tasman Environmental Markets Australia Pty Ltd,"6,332",KACCU
09/10/2024,Tasman Environmental Markets Australia Pty Ltd,704,KACCU
09/10/2024,"Natural Capital Partners Americas, LLC",4,CER
09/10/2024,"Natural Capital Partners Americas, LLC","1,115",CER
09/10/2024,"Natural Capital Partners Americas, LLC","7,500",CER
09/10/2024,"Natural Capital Partners Americas, LLC","2,500",CER
09/10/2024,"Natural Capital Partners Americas, LLC",200,CER
09/10/2024,"Natural Capital Partners Americas, LLC","11,069",CER
09/10/2024,"Natural Capital Partners Americas, LLC","15,000",CER
09/10/2024,"Natural Capital Partners Americas, LLC","1,500",CER
09/10/2024,"Natural Capital Partners Americas, LLC","2,580",CER
09/10/2024,"Natural Capital Partners Americas, LLC",90,CER
09/10/2024,"Natural Capital Partners Americas, LLC","2,189",CER
09/10/2024,"Natural Capital Partners Americas, LLC","37,631",CER
09/10/2024,"Natural Capital Partners Americas, LLC",332,CER
09/10/2024,"Natural Capital Partners Americas, LLC",475,CER
08/10/2024,GAIA INVESTMENTS (AUST) PTY LTD,126,KACCU
08/10/2024,"Natural Capital Partners Americas, LLC","1,300",CER
08/10/2024,"Natural Capital Partners Americas, LLC","1,651",CER
08/10/2024,"Natural Capital Partners Americas, LLC",44,CER
08/10/2024,"Natural Capital Partners Americas, LLC",77,CER
08/10/2024,"Natural Capital Partners Americas, LLC",409,CER
08/10/2024,"Natural Capital Partners Americas, LLC",903,CER
08/10/2024,"Natural Capital Partners Americas, LLC","4,166",CER
08/10/2024,"Natural Capital Partners Americas, LLC","6,089",CER
08/10/2024,"Natural Capital Partners Americas, LLC","2,250",CER
08/10/2024,"Natural Capital Partners Americas, LLC","2,000",CER
08/10/2024,"Natural Capital Partners Americas, LLC","2,000",CER
08/10/2024,"Natural Capital Partners Americas, LLC","6,155",CER
08/10/2024,"Natural Capital Partners Americas, LLC","6,155",CER
08/10/2024,"Natural Capital Partners Americas, LLC","1,000",CER
08/10/2024,"Natural Capital Partners Americas, LLC",426,CER
08/10/2024,"Natural Capital Partners Americas, LLC",223,CER
08/10/2024,"Natural Capital Partners Americas, LLC",173,CER
08/10/2024,"Natural Capital Partners Americas, LLC","46,639",CER
08/10/2024,"Natural Capital Partners Americas, LLC",622,CER
08/10/2024,"Natural Capital Partners Americas, LLC",623,CER
08/10/2024,"Natural Capital Partners Americas, LLC","1,951",CER
03/10/2024,Tasman Environmental Markets Australia Pty Ltd,"1,000",KACCU
03/10/2024,Tasman Environmental Markets Australia Pty Ltd,399,CER
03/10/2024,Tasman Environmental Markets Australia Pty Ltd,100,CER
03/10/2024,Tasman Environmental Markets Australia Pty Ltd,30,KACCU
03/10/2024,Carbon Financial Services Pty. Ltd.,"2,408",KACCU
02/10/2024,WASTE ASSETS MANAGEMENT CORPORATION,"1,689",KACCU
01/10/2024,Carbon Financial Services Pty. Ltd.,273,KACCU
01/10/2024,CARBON NEUTRAL PTY LTD,480,KACCU
01/10/2024,CARNARVON ENERGY LIMITED,18,KACCU
01/10/2024,CLIMA SOLUTIONS PTY LTD,64,KACCU
01/10/2024,VIRIDIOS CAPITAL PTY LTD,50,KACCU
30/09/2024,Tasman Environmental Markets Australia Pty Ltd,75,KACCU
30/09/2024,Tasman Environmental Markets Australia Pty Ltd,327,KACCU
27/09/2024,WeAct Pty Ltd,55,CER
27/09/2024,WeAct Pty Ltd,44,KACCU
27/09/2024,Carbonhalo Pty Ltd,23,KACCU
26/09/2024,HANWHA ENERGY RETAIL AUSTRALIA PTY LTD,"159,854",CER
25/09/2024,WASTE ASSETS MANAGEMENT CORPORATION,"1,124",KACCU
25/09/2024,Tasman Environmental Markets Australia Pty Ltd,"1,500",KACCU
25/09/2024,South Pole Australia Financial Services Pty Ltd,"1,068",KACCU
25/09/2024,Enviro-Mark Solutions Limited,58,CER
25/09/2024,"Natural Capital Partners Americas, LLC",204,CER
25/09/2024,"Natural Capital Partners Americas, LLC",118,CER
25/09/2024,"Natural Capital Partners Americas, LLC",94,CER
24/09/2024,Tasman Environmental Markets Australia Pty Ltd,"10,000",KACCU
24/09/2024,Tasman Environmental Markets Australia Pty Ltd,29,CER
24/09/2024,Tasman Environmental Markets Australia Pty Ltd,52,KACCU
24/09/2024,South Pole Australia Financial Services Pty Ltd,300,KACCU
20/09/2024,Tasman Environmental Markets Australia Pty Ltd,5,KACCU
20/09/2024,Tasman Environmental Markets Australia Pty Ltd,88,CER
19/09/2024,WeAct Pty Ltd,"12,324",CER
19/09/2024,WeAct Pty Ltd,"10,669",CER
19/09/2024,WeAct Pty Ltd,"1,469",CER
19/09/2024,WeAct Pty Ltd,769,CER
19/09/2024,WeAct Pty Ltd,41,CER
18/09/2024,Perenia Pty Ltd,373,CER
18/09/2024,Tasman Environmental Markets Australia Pty Ltd,"5,648",CER
18/09/2024,Tasman Environmental Markets Australia Pty Ltd,353,KACCU
18/09/2024,"Natural Capital Partners Americas, LLC","6,403",CER
18/09/2024,BETACARBON PTY LTD,121,KACCU
17/09/2024,International Power (Energy) Pty Ltd,"3,000",KACCU
17/09/2024,Carbon Financial Services Pty. Ltd.,100,KACCU
17/09/2024,WeAct Pty Ltd,"121,296",CER
17/09/2024,WeAct Pty Ltd,"1,925",CER
17/09/2024,International Power (Energy) Pty Ltd,"7,000",KACCU
17/09/2024,Tasman Environmental Markets Australia Pty Ltd,201,CER
17/09/2024,Tasman Environmental Markets Australia Pty Ltd,25,KACCU
16/09/2024,CLIMA SOLUTIONS PTY LTD,255,KACCU
16/09/2024,CLIMA SOLUTIONS PTY LTD,255,KACCU
16/09/2024,Tasman Environmental Markets Australia Pty Ltd,430,CER
16/09/2024,Tasman Environmental Markets Australia Pty Ltd,"1,032",KACCU
16/09/2024,Tasman Environmental Markets Australia Pty Ltd,370,KACCU
16/09/2024,Tasman Environmental Markets Australia Pty Ltd,333,CER
16/09/2024,Tasman Environmental Markets Australia Pty Ltd,9,KACCU
13/09/2024,Tasman Environmental Markets Australia Pty Ltd,700,CER
13/09/2024,Tasman Environmental Markets Australia Pty Ltd,200,KACCU
13/09/2024,Tasman Environmental Markets Australia Pty Ltd,"14,762",CER
13/09/2024,Tasman Environmental Markets Australia Pty Ltd,"5,126",KACCU
13/09/2024,CARBON NEUTRAL PTY LTD,500,CER
13/09/2024,CARBON NEUTRAL PTY LTD,700,KACCU
12/09/2024,CLIMA SOLUTIONS PTY LTD,122,KACCU
12/09/2024,CLIMA SOLUTIONS PTY LTD,4,KACCU
12/09/2024,CLIMA SOLUTIONS PTY LTD,1,KACCU
12/09/2024,CLIMA SOLUTIONS PTY LTD,14,KACCU
12/09/2024,CLIMA SOLUTIONS PTY LTD,8,KACCU
11/09/2024,Ecovantage Pty Ltd,1,KACCU
11/09/2024,"Natural Capital Partners Americas, LLC",101,CER
10/09/2024,Enviro-Mark Solutions Limited,84,CER
10/09/2024,Enviro-Mark Solutions Limited,184,CER
10/09/2024,CARBON NEUTRAL PTY LTD,47,CER
10/09/2024,CARBON NEUTRAL PTY LTD,112,CER
10/09/2024,"Natural Capital Partners Americas, LLC",241,CER
10/09/2024,"Natural Capital Partners Americas, LLC",539,CER
10/09/2024,"Natural Capital Partners Americas, LLC",62,CER
10/09/2024,"Natural Capital Partners Americas, LLC",29,CER
10/09/2024,"Natural Capital Partners Americas, LLC",4,CER
09/09/2024,"Natural Capital Partners Americas, LLC",276,CER
09/09/2024,"Natural Capital Partners Americas, LLC",169,CER
09/09/2024,"Natural Capital Partners Americas, LLC","1,000",CER
09/09/2024,Tasman Environmental Markets Australia Pty Ltd,215,KACCU
09/09/2024,CARBON NEUTRAL PTY LTD,105,KACCU
09/09/2024,Tasman Environmental Markets Australia Pty Ltd,115,CER
09/09/2024,Tasman Environmental Markets Australia Pty Ltd,7,KACCU
06/09/2024,Aboriginal Carbon Fund Limited,150,KACCU
06/09/2024,CLIMA SOLUTIONS PTY LTD,"3,864",KACCU
06/09/2024,Olkola Aboriginal Corporation,"3,000",KACCU
06/09/2024,Enviro-Mark Solutions Limited,8,CER
06/09/2024,APA infrastructure Limited,"15,086",KACCU
05/09/2024,CARBON NEUTRAL PTY LTD,"11,470",CER
05/09/2024,Carbon Financial Services Pty. Ltd.,576,KACCU
05/09/2024,Tasman Environmental Markets Australia Pty Ltd,"13,119",KACCU
05/09/2024,"Natural Capital Partners Americas, LLC",250,CER
05/09/2024,"Natural Capital Partners Americas, LLC","1,000",CER
05/09/2024,Tasman Environmental Markets Australia Pty Ltd,"1,135",KACCU
04/09/2024,Tasman Environmental Markets Australia Pty Ltd,115,KACCU
04/09/2024,Virgin Australia Airlines Pty Ltd,203,KACCU
04/09/2024,Wanjina-Wunggurr (Native Title) Aboriginal Corporation RNTBC,"21,230",KACCU
04/09/2024,Wanjina-Wunggurr (Native Title) Aboriginal Corporation RNTBC,"21,230",KACCU
04/09/2024,Wanjina-Wunggurr (Native Title) Aboriginal Corporation RNTBC,"16,373",KACCU
04/09/2024,Wanjina-Wunggurr (Native Title) Aboriginal Corporation RNTBC,"4,857",KACCU
04/09/2024,"Natural Capital Partners Americas, LLC","6,374",CER
03/09/2024,TARONGA CONSERVATION SOCIETY AUSTRALIA,"2,366",KACCU
03/09/2024,Tasman Environmental Markets Australia Pty Ltd,50,CER
30/08/2024,Tasman Environmental Markets Australia Pty Ltd,30,CER
29/08/2024,"Natural Capital Partners Americas, LLC","15,846",CER
28/08/2024,Carbonhalo Pty Ltd,23,KACCU
26/08/2024,Enviro-Mark Solutions Limited,27,CER
23/08/2024,Terra Carbon Pty Ltd,167,KACCU
22/08/2024,CARBON NEUTRAL PTY LTD,130,KACCU
22/08/2024,Tasman Environmental Markets Australia Pty Ltd,"1,250",KACCU
22/08/2024,Tasman Environmental Markets Australia Pty Ltd,170,CER
22/08/2024,Tasman Environmental Markets Australia Pty Ltd,10,KACCU
22/08/2024,Tasman Environmental Markets Australia Pty Ltd,410,CER
22/08/2024,"Natural Capital Partners Americas, LLC","7,768",CER
22/08/2024,"Natural Capital Partners Americas, LLC",18,CER
22/08/2024,"Natural Capital Partners Americas, LLC",312,CER
22/08/2024,"Natural Capital Partners Americas, LLC",50,CER
22/08/2024,"Natural Capital Partners Americas, LLC",538,CER
22/08/2024,"Natural Capital Partners Americas, LLC",333,CER
22/08/2024,"Natural Capital Partners Americas, LLC",137,CER
22/08/2024,"Natural Capital Partners Americas, LLC",218,CER
22/08/2024,"Natural Capital Partners Americas, LLC",768,CER
22/08/2024,"Natural Capital Partners Americas, LLC","1,963",CER
22/08/2024,"Natural Capital Partners Americas, LLC",2,CER
22/08/2024,"Natural Capital Partners Americas, LLC",51,CER
22/08/2024,"Natural Capital Partners Americas, LLC","2,553",CER
22/08/2024,"Natural Capital Partners Americas, LLC",86,CER
22/08/2024,"Natural Capital Partners Americas, LLC",251,CER
22/08/2024,"Natural Capital Partners Americas, LLC",67,CER
22/08/2024,"Natural Capital Partners Americas, LLC",547,CER
22/08/2024,"Natural Capital Partners Americas, LLC","1,294",CER
22/08/2024,"Natural Capital Partners Americas, LLC",208,CER
22/08/2024,"Natural Capital Partners Americas, LLC",566,CER
22/08/2024,"Natural Capital Partners Americas, LLC","1,320",CER
22/08/2024,"Natural Capital Partners Americas, LLC",55,CER
22/08/2024,"Natural Capital Partners Americas, LLC",810,CER
22/08/2024,"Natural Capital Partners Americas, LLC",212,CER
22/08/2024,"Natural Capital Partners Americas, LLC",600,CER
22/08/2024,"Natural Capital Partners Americas, LLC",125,CER
22/08/2024,"Natural Capital Partners Americas, LLC",350,CER
21/08/2024,Carbon Financial Services Pty. Ltd.,775,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,"1,994",KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,49,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,54,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,"1,056",KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,461,KACCU
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,140,KACCU
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,"2,659",CER
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,205,KACCU
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,"3,893",CER
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,261,KACCU
21/08/2024,Tasman Environmental Markets Australia Pty Ltd,"4,956",CER
21/08/2024,VIRIDIOS CAPITAL PTY LTD,922,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,8,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,"3,449",KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,294,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,309,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,383,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,381,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,73,KACCU
21/08/2024,South Pole Australia Financial Services Pty Ltd,108,KACCU
21/08/2024,South Pole Australia Financial Services Pty Ltd,167,KACCU
21/08/2024,South Pole Australia Financial Services Pty Ltd,78,KACCU
21/08/2024,South Pole Australia Financial Services Pty Ltd,870,KACCU
21/08/2024,South Pole Australia Financial Services Pty Ltd,346,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,15,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,4,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,"1,000",KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,523,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,8,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,374,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,244,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,540,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,336,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,606,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,925,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,56,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,"1,195",KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,82,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,370,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,32,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,120,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,154,KACCU
21/08/2024,Carbon Financial Services Pty. Ltd.,13,KACCU
21/08/2024,"Natural Capital Partners Americas, LLC",149,CER
21/08/2024,"Natural Capital Partners Americas, LLC",10,CER
21/08/2024,"Natural Capital Partners Americas, LLC","1,621",CER
21/08/2024,"Natural Capital Partners Americas, LLC",734,CER
21/08/2024,"Natural Capital Partners Americas, LLC",540,CER
21/08/2024,"Natural Capital Partners Americas, LLC",107,CER
21/08/2024,"Natural Capital Partners Americas, LLC",100,CER
20/08/2024,EKI Energy Services Limited,"27,049",CER
20/08/2024,EKI Energy Services Limited,"99,688",CER
20/08/2024,EKI Energy Services Limited,"22,913",CER
20/08/2024,EKI Energy Services Limited,"22,815",CER
20/08/2024,EKI Energy Services Limited,"4,603",CER
20/08/2024,EKI Energy Services Limited,"36,710",CER
20/08/2024,EKI Energy Services Limited,"11,834",CER
20/08/2024,EKI Energy Services Limited,"1,640",CER
20/08/2024,Tasman Environmental Markets Australia Pty Ltd,209,KACCU
20/08/2024,Tasman Environmental Markets Australia Pty Ltd,900,CER
20/08/2024,Tasman Environmental Markets Australia Pty Ltd,168,KACCU
20/08/2024,"Natural Capital Partners Americas, LLC","2,980",CER
19/08/2024,Enviro-Mark Solutions Limited,33,CER
19/08/2024,VIRIDIOS CAPITAL PTY LTD,435,KACCU
19/08/2024,Aboriginal Carbon Fund Limited,100,KACCU
16/08/2024,Commonwealth Bank of Australia,18,KACCU
16/08/2024,Commonwealth Bank of Australia,865,KACCU
16/08/2024,Commonwealth Bank of Australia,538,KACCU
16/08/2024,Commonwealth Bank of Australia,45,KACCU
16/08/2024,Commonwealth Bank of Australia,24,KACCU
16/08/2024,Commonwealth Bank of Australia,1,KACCU
16/08/2024,Commonwealth Bank of Australia,38,KACCU
16/08/2024,Commonwealth Bank of Australia,43,KACCU
16/08/2024,Commonwealth Bank of Australia,104,KACCU
16/08/2024,Commonwealth Bank of Australia,759,KACCU
16/08/2024,Commonwealth Bank of Australia,201,KACCU
16/08/2024,Commonwealth Bank of Australia,525,KACCU
16/08/2024,Commonwealth Bank of Australia,97,KACCU
16/08/2024,Commonwealth Bank of Australia,89,KACCU
16/08/2024,Commonwealth Bank of Australia,"2,015",KACCU
16/08/2024,Commonwealth Bank of Australia,439,KACCU
16/08/2024,Commonwealth Bank of Australia,61,KACCU
16/08/2024,Commonwealth Bank of Australia,426,KACCU
16/08/2024,Commonwealth Bank of Australia,297,KACCU
16/08/2024,Commonwealth Bank of Australia,188,KACCU
16/08/2024,Commonwealth Bank of Australia,10,KACCU
16/08/2024,Viva Energy Australia Ltd,"2,634",KACCU
16/08/2024,Tasman Environmental Markets Australia Pty Ltd,"1,700",KACCU
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,70,CER
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,5,KACCU
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,10,CER
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,43,CER
15/08/2024,Tasman Environmental Markets Australia Pty Ltd,3,KACCU
