Company Name,Cohort,ASRS Tier,Sector,NGER Scope 1 (tCO2e),NGER Scope 2 (tCO2e),Priority
Glencore Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),5675503.0,1295857.0,40.0
Golden M Nsw Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),2844529.0,271801.0,40.0
Ck William Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1422754.0,264348.0,40.0
Kestrel Coal Group Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1263099.0,153730.0,40.0
Sgh Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1191558.0,266310.0,40.0
Coronado Australia Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1093184.0,158829.0,40.0
Pechiney Consolidated Australia Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1087025.0,5380125.0,40.0
Cleanaway Waste Management Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1082265.0,52035.0,40.0
Stanmore Resources Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),1027380.37,108419.21,40.0
Veolia Holdings Australia Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),945868.0,157970.0,40.0
Power Generation Corporation,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),924297.0,105.0,40.0
Qgc Upstream Investments Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),909001.0,2239386.0,40.0
Banpu Australia Co. Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),881599.0,199937.0,40.0
Qcoal Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),839977.0,69435.0,40.0
Citic Pacific Mining Management Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),836882.0,126.0,40.0
Newgen Kwinana Holdings Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),797700.0,253.0,40.0
Dyno Nobel Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),796416.0,48183.0,40.0
Fitzroy (Cq) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),793653.0,64649.0,40.0
Tronox Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),755960.0,126137.0,40.0
Transalta Energy (Australia) Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),745732.0,27.0,40.0
Adani Mining Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),741002.0,200.0,40.0
Australian Logistics Acquisition Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),728189.0,73496.0,40.0
Onesteel Manufacturing Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),695012.0,29316.66,40.0
Hancock Prospecting Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),648226.0,234669.0,40.0
Pratt Consolidated Holdings Pty. Ltd.,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),647412.0,863505.0,40.0
Sgsp (Australia) Assets Pty Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),599161.0,221209.0,39.909861873850886
Gold Fields Australia Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),552849.0,137329.0,39.66852598791164
International Power (Australia) Holdings Pty Limited,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),518914.0,3939.0,39.478486116725804
