Company Name,Symbol,Market
Central Global Berhad,8052,Main Market
Cepatwawasan Group Berhad,8982,Main Market
Cheetah Holdings Berhad,7209,Main Market
Chin HIN Group Berhad,5273,Main Market
Chin HIN Group Property Berhad,7187,Main Market
Chin Teck Plantations Berhad,1929,Main Market
Chin Well Holdings Berhad,5007,Main Market
China Ouhua Winery Holdings Limited,5188,Main Market
Choo BEE Metal Industries Bhd,5797,Main Market
Chuan Huat Resources Bhd,7016,Main Market
CIMB Group Holdings Berhad,1023,Main Market
Citaglobal Berhad,7245,Main Market
Citra Nusa Holdings Berhad,5104,Main Market
CJ Century Logistics Holdings Berhad,7117,Main Market
Classita Holdings Berhad,7154,Main Market
Cloudaron Group Berhad,03001,LEAP Market
Cloudpoint Technology Berhad,0277,ACE Market
CME Group Berhad,7018,Main Market
CN Asia Corporation Bhd,7986,Main Market
Cnergenz Berhad,0246,ACE Market
Coastal Contracts Bhd,5071,Main Market
Comfort Gloves Berhad,2127,Main Market
Compugates Holdings Berhad,5037,Main Market
Computer Forms (Malaysia) Berhad,8044,Main Market
Concrete Engineering Products Berhad,8435,Main Market
Coraza Integrated Technology Berhad,0240,ACE Market
Cosmos Technology International Berhad,0261,ACE Market
Country Heights Holdings Bhd,5738,Main Market
Country View Berhad,5049,Main Market
CPE Technology Berhad,5317,Main Market
Crescendo Corporation Berhad,6718,Main Market
Crest Builder Holdings Berhad,8591,Main Market
Critical Holdings Berhad,0291,ACE Market
CSC Steel Holdings Berhad,5094,Main Market
Ctos Digital Berhad,5301,Main Market
Cuscapi Berhad,0051,ACE Market
CWG Holdings Berhad,9423,Main Market
Cyberjaya Education Group Berhad,5166,Main Market
CYL Corporation Berhad,7157,Main Market
Cypark Resources Berhad,5184,Main Market
D & O Green Technologies Berhad,7204,Main Market
Dagang Nexchange Berhad,4456,Main Market
Danainfra Nasional Berhad,0400GB,Main Market
Dancomech Holdings Berhad,5276,Main Market
Dataprep Holdings Bhd,8338,Main Market
Datasonic Group Berhad,5216,Main Market
Dayang Enterprise Holdings Berhad,5141,Main Market
Daythree Digital Berhad,0281,ACE Market
DC Healthcare Holdings Berhad,0283,ACE Market
Deleum Berhad,5132,Main Market
Destini Berhad,7212,Main Market
Dfcity Group Berhad,5165,Main Market
DGB Asia Berhad,0152,ACE Market
Dialog Group Berhad,7277,Main Market
Digistar Corporation Berhad,0029,ACE Market
Divfex Berhad,0131,ACE Market
Dkls Industries Bhd,7528,Main Market
Dksh Holdings (Malaysia) Berhad,5908,Main Market
D'nonce Technology Bhd,7114,Main Market
Dolphin International Berhad,5265,Main Market
Dominant Enterprise Berhad,7169,Main Market
DPI Holdings Berhad,0205,ACE Market
DPS Resources Berhad,7198,Main Market
Drb-hicom Berhad,1619,Main Market
DS Sigma Holdings Berhad,0269,ACE Market
DSR Taiko Berhad,03055,LEAP Market
Dufu Technology Corp. Berhad,7233,Main Market
Duopharma Biotech Berhad,7148,Main Market
Dutaland Berhad,3948,Main Market
Dutch Lady Milk Industries Berhad,3026,Main Market
DXN Holdings Bhd.,5318,Main Market
Dynafront Holdings Berhad,03046,LEAP Market
E.a.technique (M) Berhad,5259,Main Market
EA Holdings Berhad,0154,ACE Market
Eastern & Oriental Berhad,3417,Main Market
ECA Integrated Solution Berhad,0267,ACE Market
ECM Libra Group Berhad,2143,Main Market
ECO World Development Group Berhad,8206,Main Market
ECO World International Berhad,5283,Main Market
Ecobuilt Holdings Berhad,0059,ACE Market
Ecofirst Consolidated Bhd,3557,Main Market
Ecomate Holdings Berhad,0239,ACE Market
Econframe Berhad,0227,ACE Market
Econpile Holdings Berhad,5253,Main Market
Ecoscience International Berhad,0255,ACE Market
Edaran Berhad,5036,Main Market
Edelteq Holdings Berhad,0278,ACE Market
Eden Inc. Berhad,7471,Main Market
Eduspec Holdings Berhad,0107,ACE Market
Efficient E-solutions Berhad,0064,ACE Market
EG Industries Berhad,8907,Main Market
Eita Resources Berhad,5208,Main Market
Ekovest Berhad,8877,Main Market
Eksons Corporation Berhad,9016,Main Market
Elk-desa Resources Berhad,5228,Main Market
Elsoft Research Berhad,0090,ACE Market
Emico Holdings Berhad,9091,Main Market
Encorp Berhad,6076,Main Market
Enest Group Berhad,03025,LEAP Market
ENG KAH Corporation Berhad,7149,Main Market
Engtex Group Berhad,5056,Main Market
Enra Group Berhad,8613,Main Market
Eonmetall Group Berhad,7217,Main Market
EP Manufacturing Bhd,7773,Main Market
Epicon Berhad,4847,Main Market
Eq8 DOW Jones Islamic Market Malaysia Titans 25 ETF,0821EA,Main Market
Eq8 DOW Jones US Titans 50 ETF,0827EA,Main Market
